group,task,n_rows,fold,n_folds,seed
Sarcoma/labelsTr/STS_011,Sarcoma,2,0,5,0
Sarcoma/labelsTr/STS_012,Sarcoma,2,4,5,0
Sarcoma/labelsTr/STS_013,Sarcoma,1,0,5,0
Sarcoma/labelsTr/STS_015,Sarcoma,2,2,5,0
Sarcoma/labelsTr/STS_016,Sarcoma,2,4,5,0
Sarcoma/labelsTr/STS_017,Sarcoma,1,0,5,0
Sarcoma/labelsTr/STS_018,Sarcoma,1,3,5,0
Sarcoma/labelsTr/STS_019,Sarcoma,1,4,5,0
Sarcoma/labelsTr/STS_021,Sarcoma,2,0,5,0
Sarcoma/labelsTr/STS_022,Sarcoma,2,3,5,0
Sarcoma/labelsTr/STS_023,Sarcoma,2,0,5,0
Sarcoma/labelsTr/STS_024,Sarcoma,2,3,5,0
Sarcoma/labelsTr/STS_027,Sarcoma,2,1,5,0
Sarcoma/labelsTr/STS_028,Sarcoma,1,2,5,0
Sarcoma/labelsTr/STS_029,Sarcoma,2,3,5,0
Sarcoma/labelsTr/STS_030,Sarcoma,2,1,5,0
Sarcoma/labelsTr/STS_031,Sarcoma,2,3,5,0
Sarcoma/labelsTr/STS_032,Sarcoma,2,4,5,0
Sarcoma/labelsTr/STS_033,Sarcoma,2,2,5,0
Sarcoma/labelsTr/STS_035,Sarcoma,1,2,5,0
Sarcoma/labelsTr/STS_036,Sarcoma,2,1,5,0
Sarcoma/labelsTr/STS_037,Sarcoma,2,2,5,0
Sarcoma/labelsTr/STS_038,Sarcoma,2,0,5,0
Sarcoma/labelsTr/STS_039,Sarcoma,2,1,5,0
Sarcoma/labelsTr/STS_040,Sarcoma,1,1,5,0
Sarcoma/labelsTr/STS_041,Sarcoma,2,4,5,0
Sarcoma/labelsTr/STS_042,Sarcoma,2,2,5,0
Sarcoma/labelsTr/STS_043,Sarcoma,1,4,5,0
Sarcoma/labelsTr/STS_046,Sarcoma,2,2,5,0
Sarcoma/labelsTr/STS_047,Sarcoma,1,1,5,0
Sarcoma/labelsTr/STS_048,Sarcoma,2,3,5,0
Sarcoma/labelsTr/STS_049,Sarcoma,1,3,5,0
Sarcoma/labelsTr/STS_051,Sarcoma,1,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_002.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_004.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_005.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_006.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_008.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_009.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_010.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_011.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_012.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_015.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_016.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_017.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_019.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_020.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_021.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_022.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_023.nii.gz,Task01_BrainTumour,2,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_024.nii.gz,Task01_BrainTumour,2,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_025.nii.gz,Task01_BrainTumour,2,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_026.nii.gz,Task01_BrainTumour,2,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_027.nii.gz,Task01_BrainTumour,2,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_028.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_029.nii.gz,Task01_BrainTumour,2,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_031.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_032.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_033.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_034.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_035.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_036.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_038.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_039.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_040.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_042.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_043.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_044.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_046.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_048.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_049.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_050.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_051.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_055.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_056.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_058.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_059.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_060.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_061.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_062.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_063.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_064.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_066.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_067.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_068.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_069.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_070.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_071.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_072.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_074.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_075.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_076.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_077.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_078.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_079.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_080.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_082.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_083.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_085.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_086.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_087.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_089.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_092.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_093.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_094.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_096.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_097.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_098.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_099.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_101.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_102.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_103.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_104.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_105.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_106.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_107.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_108.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_109.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_110.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_112.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_113.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_114.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_115.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_117.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_119.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_120.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_121.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_122.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_123.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_124.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_125.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_126.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_128.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_130.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_131.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_132.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_133.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_134.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_135.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_136.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_137.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_138.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_141.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_142.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_143.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_144.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_145.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_146.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_147.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_149.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_150.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_151.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_152.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_153.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_154.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_155.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_156.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_157.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_158.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_159.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_160.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_161.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_162.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_163.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_164.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_167.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_168.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_169.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_170.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_171.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_172.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_174.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_176.nii.gz,Task01_BrainTumour,2,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_177.nii.gz,Task01_BrainTumour,2,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_178.nii.gz,Task01_BrainTumour,2,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_179.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_180.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_181.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_182.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_183.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_184.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_185.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_186.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_187.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_188.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_191.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_193.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_194.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_195.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_196.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_198.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_200.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_201.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_202.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_203.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_204.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_205.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_206.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_207.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_208.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_209.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_210.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_211.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_213.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_214.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_215.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_216.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_219.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_224.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_225.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_226.nii.gz,Task01_BrainTumour,2,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_227.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_228.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_231.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_232.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_233.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_236.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_237.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_238.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_239.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_241.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_242.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_243.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_244.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_246.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_247.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_248.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_250.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_251.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_253.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_256.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_257.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_258.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_259.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_260.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_261.nii.gz,Task01_BrainTumour,3,4,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_262.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_263.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_264.nii.gz,Task01_BrainTumour,3,1,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_265.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_269.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_270.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_271.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_272.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_273.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_274.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_275.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_276.nii.gz,Task01_BrainTumour,3,2,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_277.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_278.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_279.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_280.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_281.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_282.nii.gz,Task01_BrainTumour,3,3,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_283.nii.gz,Task01_BrainTumour,3,0,5,0
MSD/Task01_BrainTumour/labelsTr/BRATS_284.nii.gz,Task01_BrainTumour,3,3,5,0
